,Continent,Year,animal_protein,plant_based_protein
715,Australia,1987,70.87651,37.861687
716,Australia,1988,70.60431,37.962116
717,Australia,1989,71.64134,36.51792
718,Australia,1990,72.53789,37.768238
719,Australia,1991,70.908394,35.78517
720,Australia,1992,71.15996,33.497078
721,Australia,1993,70.62248,32.9337
722,Australia,1994,71.48066,34.66339
723,Australia,1995,69.60469,38.879562
724,Australia,1996,69.421326,37.006577
725,Australia,1997,67.97937,36.873413
726,Australia,1998,68.231865,34.1614
727,Australia,1999,69.010086,33.487957
728,Australia,2000,68.73018,33.853687
729,Australia,2001,68.49961,33.53099
730,Australia,2002,69.08809,37.00895
731,Australia,2003,71.00386,40.049824
732,Australia,2004,66.868866,36.123394
733,Australia,2005,71.29342,35.433075
734,Australia,2006,71.507256,35.131733
735,Australia,2007,74.689514,35.799557
736,Australia,2008,70.52392,37.915646
737,Australia,2009,69.23157,35.89257
738,Australia,2010,74.52693,37.03708
739,Australia,2011,76.45388,35.10185
740,Australia,2012,75.375015,35.57136
741,Australia,2013,74.29755,35.78035
742,Australia,2014,73.634514,34.776325
743,Australia,2015,74.3503,34.381992
744,Australia,2016,74.80748,34.47562
745,Australia,2017,71.814415,34.902424
746,Australia,2018,72.32404,35.12541
747,Australia,2019,72.05978,38.18671
748,Australia,2020,74.88029,39.238148
3634,Europe,1961,39.657578,50.900574
3635,Europe,1962,40.719677,51.32008
3636,Europe,1963,41.914906,51.03626
3637,Europe,1964,41.353252,51.07218
3638,Europe,1965,42.115055,50.702175
3639,Europe,1966,43.04048,50.287262
3640,Europe,1967,44.927326,49.425697
3641,Europe,1968,46.013813,49.060284
3642,Europe,1969,46.657944,48.794964
3643,Europe,1970,48.103477,48.66235
3644,Europe,1971,48.802338,48.000134
3645,Europe,1972,49.749767,47.48033
3646,Europe,1973,50.168526,47.79746
3647,Europe,1974,51.910988,47.46949
3648,Europe,1975,52.903496,46.872787
3649,Europe,1976,52.975582,46.91285
3650,Europe,1977,52.94804,46.713886
3651,Europe,1978,54.24341,46.792736
3652,Europe,1979,55.01972,46.78056
3653,Europe,1980,55.138237,46.544872
3654,Europe,1981,54.909267,45.98695
3655,Europe,1982,54.52771,45.959244
3656,Europe,1983,55.19361,45.570946
3657,Europe,1984,56.062466,46.014225
3658,Europe,1985,57.18004,46.17999
3659,Europe,1986,57.52943,46.28159
3660,Europe,1987,58.118855,46.413437
3661,Europe,1988,58.36506,46.481384
3662,Europe,1989,58.361794,46.10498
3663,Europe,1990,58.468086,46.093727
3664,Europe,1991,55.98192,45.66185
3665,Europe,1992,54.400234,43.501457
3666,Europe,1993,53.3318,43.555984
3667,Europe,1994,53.16393,43.319717
3668,Europe,1995,53.303333,43.14452
3669,Europe,1996,53.184277,43.09662
3670,Europe,1997,53.358864,43.1654
3671,Europe,1998,54.86189,43.540535
3672,Europe,1999,54.105637,43.655815
3673,Europe,2000,53.907272,43.55535
3674,Europe,2001,54.814926,44.145176
3675,Europe,2002,55.722843,44.418972
3676,Europe,2003,55.789196,44.01297
3677,Europe,2004,55.765358,44.40575
3678,Europe,2005,56.545372,44.325512
3679,Europe,2006,57.127857,44.519894
3680,Europe,2007,58.416855,44.399364
3681,Europe,2008,58.286377,44.595215
3682,Europe,2009,58.301346,44.44308
3683,Europe,2010,58.519382,44.551476
3684,Europe,2011,58.233356,44.660084
3685,Europe,2012,58.520832,44.370155
3686,Europe,2013,58.279736,44.467434
3687,Europe,2014,57.318794,44.76165
3688,Europe,2015,57.295883,45.322002
3689,Europe,2016,57.684708,45.433113
3690,Europe,2017,57.858707,45.49447
3691,Europe,2018,58.92502,45.123093
3692,Europe,2019,61.129898,44.28115
3693,Europe,2020,61.368683,44.6776
8132,North America,1961,53.00818,35.949814
8133,North America,1962,52.70235,35.552013
8134,North America,1963,53.40065,35.8473
8135,North America,1964,54.428318,36.042736
8136,North America,1965,53.834396,36.01893
8137,North America,1966,55.146637,35.96814
8138,North America,1967,55.29156,36.36371
8139,North America,1968,55.899513,36.44823
8140,North America,1969,55.04245,36.835026
8141,North America,1970,54.908558,36.09635
8142,North America,1971,55.081753,36.422745
8143,North America,1972,55.322395,35.642666
8144,North America,1973,53.574806,36.376556
8145,North America,1974,54.01154,35.982174
8146,North America,1975,52.5033,37.47067
8147,North America,1976,55.194237,37.36155
8148,North America,1977,54.907864,36.51933
8149,North America,1978,54.42425,37.038532
8150,North America,1979,54.059418,37.662296
8151,North America,1980,54.599346,37.65753
8152,North America,1981,54.739952,39.96199
8153,North America,1982,53.94392,39.103394
8154,North America,1983,54.768616,38.596233
8155,North America,1984,54.817383,38.359566
