code,product,food subgroup,lci name,preparation,agriculture,transformation,packaging,transport,supermarket_distribution,consumption,total
40058,lamb,raw meats,"heart, lamb, raw",no preparation,21.06315,0.03457383,0.27564225,0.19828674,0.036974137,0.0066875618,21.6153145188
40102,lamb,raw meats,"liver, lamb, raw",no preparation,21.06315,0.03457383,0.27564225,0.19828674,0.036974137,0.0066875618,21.6153145188
40302,lamb,raw meats,"sweetbread, lamb, raw",no preparation,26.328937,0.043217288,0.34455281,0.24785842,0.046217671,0.08872985,27.099513039
40407,lamb,raw meats,"kidney, lamb, raw",no preparation,21.06315,0.03457383,0.27564225,0.19828674,0.036974137,0.0066875618,21.6153145188
30302,pork,deli meats,"dry sausage, pure pork, superior quality",no preparation,5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.0066875618,6.0794818518
28502,pork,deli meats,"pork belly, smoked, raw",no preparation,5.587654,0.27620305,0.16977722,0.20468657,0.036974137,0.0066875618,6.2819825387999995
8300,pork,deli meats,"pork liver pã¢tã©, superior quality",no preparation,4.2891728,0.53616527,0.33455704,0.12910993,0.017321188,0.0066875618,5.3130137898
8305,pork,deli meats,pork liver pã¢tã©,no preparation,4.2891728,0.53616527,0.33455704,0.12910993,0.017321188,0.0066875618,5.3130137898
8312,pork,deli meats,"pork liver mousse, superior quality",no preparation,4.2891728,0.53616527,0.42841844,0.20847516,0.037393191,0.0066875618,5.506312422799999
8313,pork,deli meats,pork liver mousse,no preparation,4.2891728,0.53616527,0.42841844,0.20847516,0.037393191,0.0066875618,5.506312422799999
30153,pork,deli meats,"merguez sausage, pork and beef, raw",no preparation,23.726495,0.51515612,0.48156728,0.21333977,0.037393191,0.0066875618,24.9806389228
30154,pork,deli meats,"merguez sausage, beef, mutton and pork, raw",no preparation,31.371255,0.32208615,0.37872644,0.21170653,0.037393191,0.0066875618,32.3278548728
8000,pork,deli meats,"rillettes, pork",no preparation,4.2891728,0.53616527,0.33455704,0.12910993,0.017321188,0.0066875618,5.3130137898
8001,pork,deli meats,"rillettes, pure pork",no preparation,4.2891728,0.53616527,0.33455704,0.12910993,0.017321188,0.0066875618,5.3130137898
28700,pork,deli meats,"pork ham, intended to be cooked or pork ham, intended to be roast/bake",no preparation,5.8902263,0.48164956,0.47907012,0.20550955,0.036974137,0.0066875618,7.1001172288
28924,pork,deli meats,"cooked pork shoulder, standard, rind less and fatless",no preparation,5.8902263,0.48164956,0.47907012,0.20550955,0.036974137,0.0066875618,7.1001172288
28911,pork,deli meats,"cooked pork shoulder, choice",no preparation,5.8902263,0.48164956,0.47907012,0.20550955,0.036974137,0.0066875618,7.1001172288
8120,pork,deli meats,preserved pork liver,no preparation,1.4965593,0.10480963,0.27761401,0.19485162,0.037393191,0.0066875618,2.1179153128
30351,pork,deli meats,"salami, pure pork",no preparation,5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.0066875618,6.0794818518
30316,pork,deli meats,dry spicy pork sausage with red pepper,no preparation,5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.0066875618,6.0794818518
30051,pork,deli meats,"sausage meat, pure pork, raw",no preparation,4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.0066875618,5.0921319888
30052,pork,deli meats,"sausage meat, pork and beef, raw",no preparation,4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.0066875618,5.0921319888
30750,pork,deli meats,"viennese sausage, pork and veal, raw",no preparation,14.10395,1.0048785,0.7399657,0.21938611,0.037393191,0.0066875618,16.1122610628
30352,pork,deli meats,"salami, pork and beef",no preparation,5.1518328,0.64278064,0.098456598,0.20498679,0.037393191,0.0066875618,6.1421375808
30301,pork,deli meats,"dry sausage, pure pork",no preparation,5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.0066875618,6.0794818518
25566,pork,other meat products,"pork on skewer, raw",no preparation,5.5630553,0.56285425,0.53428401,0.2494637,0.037393191,0.0066875618,6.9537380128
28302,pork,raw meats,"pork, loin, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
40005,pork,raw meats,"brain, pork, raw",no preparation,1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.0066875618,2.0972928988
40060,pork,raw meats,"heart, pork, raw",no preparation,1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.0066875618,2.0972928988
40119,pork,raw meats,"liver, pork, raw",no preparation,1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.0066875618,2.0972928988
40404,pork,raw meats,"kidney, pork, raw",no preparation,1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.0066875618,2.0972928988
40205,pork,raw meats,"tongue, pork, raw",no preparation,1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.0066875618,2.0972928988
28470,pork,raw meats,"pork, back fat, rindless, raw",no preparation,1.1542558,0.057139359,0.27564225,0.19240409,0.036974137,0.0066875618,1.7231031978
28400,pork,raw meats,"pork, spare-ribs, raw",no preparation,8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.499410431
28102,pork,raw meats,"pork, round steak, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28300,pork,raw meats,"pork, roast, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28002,pork,raw meats,"pork, belly, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28479,pork,raw meats,"pork, belly, flank removed, raw",no preparation,5.587654,0.27620305,0.27564225,0.20468657,0.036974137,0.0066875618,6.387847568799999
28100,pork,raw meats,"pork, chop, raw",no preparation,8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.499410431
28477,pork,raw meats,"pork, shoulder upper half, without rind, fat and bone, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28476,pork,raw meats,"pork, 80/20 trimming, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28003,pork,raw meats,"pork loin, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28004,pork,raw meats,"pork, knuckle or shank, raw",no preparation,8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.499410431
28474,pork,raw meats,"pork, knuckle oh ham, without rind, fat and bone, raw",no preparation,8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.499410431
28473,pork,raw meats,"pork, way leg, without rind, fat and bone, raw",no preparation,10.950817,1.148702,0.58060782,0.26684649,0.046217671,0.08872985,13.081920831000003
28472,pork,raw meats,"pork, shoulder lower half, without rind, fat and bone, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28471,pork,raw meats,"pork, jowl, rindless, raw",no preparation,5.587654,0.27620305,0.27564225,0.20468657,0.036974137,0.0066875618,6.387847568799999
28201,pork,raw meats,"pork tenderloin, lean, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28204,pork,raw meats,"pork filet mignon, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28104,pork,raw meats,"pork, rack, raw",no preparation,8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.499410431
28001,pork,raw meats,"pork, shoulder, raw",no preparation,7.008523,0.69545867,0.3789656,0.20862301,0.036974137,0.0066875618,8.3352319788
28475,pork,raw meats,"pork, 90/10 trimming, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28460,pork,raw meats,"pork, ham escalope, raw",no preparation,8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.0066875618,10.4012405388
28963,chicken,deli meats,"chicken cooked ham, in slices",no preparation,5.1782299,1.0798426,0.27564225,0.24399676,0.036974137,0.0066875618,6.821373208799999
40054,chicken,raw meats,"heart, chicken, raw",no preparation,1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.0066875618,1.8444733088
36029,chicken,raw meats,"chicken, breast, meat and skin, raw",no preparation,5.1782298,1.0798426,0.27564225,0.24399676,0.036974137,0.0066875618,6.8213731088
36022,chicken,raw meats,"chicken, drumstick, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
36019,chicken,raw meats,"chicken high leg, meat, raw",no preparation,5.1782299,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232861
36017,chicken,raw meats,"chicken, breast, without skin, raw",no preparation,5.1782298,1.0798426,0.27564225,0.24399676,0.036974137,0.0066875618,6.8213731088
36024,chicken,raw meats,"chicken, leg, meat, raw",no preparation,5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.9792327610000005
