code,SOURCE,GROUP,PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT,LEVEL
40302,lamb,raw meats,"sweetbread, lamb, raw",26.328937,0.043217288,0.34455281,0.24785842,0.046217671,0.08872985,27.09951304,3
40407,lamb,raw meats,"kidney, lamb, raw",21.06315,0.03457383,0.27564225,0.19828674,0.036974137,0.006687562,21.61531452,3
30302,pork,deli meats,"dry sausage, pure pork, superior quality",5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.006687562,6.079481852,1
28502,pork,deli meats,"pork belly, smoked, raw",5.587654,0.27620305,0.16977722,0.20468657,0.036974137,0.006687562,6.281982539,1
8312,pork,deli meats,"pork liver mousse, superior quality",4.2891728,0.53616527,0.42841844,0.20847516,0.037393191,0.006687562,5.506312423,1
8313,pork,deli meats,pork liver mousse,4.2891728,0.53616527,0.42841844,0.20847516,0.037393191,0.006687562,5.506312423,1
30153,pork,deli meats,"merguez sausage, pork and beef, raw",23.726495,0.51515612,0.48156728,0.21333977,0.037393191,0.006687562,24.98063892,3
30154,pork,deli meats,"merguez sausage, beef, mutton and pork, raw",31.371255,0.32208615,0.37872644,0.21170653,0.037393191,0.006687562,32.32785487,4
8000,pork,deli meats,"rillettes, pork",4.2891728,0.53616527,0.33455704,0.12910993,0.017321188,0.006687562,5.31301379,1
8001,pork,deli meats,"rillettes, pure pork",4.2891728,0.53616527,0.33455704,0.12910993,0.017321188,0.006687562,5.31301379,1
28700,pork,deli meats,"pork ham, intended to be cooked or pork ham, intended to be roast/bake",5.8902263,0.48164956,0.47907012,0.20550955,0.036974137,0.006687562,7.100117229,1
28924,pork,deli meats,"cooked pork shoulder, standard, rind less and fatless",5.8902263,0.48164956,0.47907012,0.20550955,0.036974137,0.006687562,7.100117229,1
28911,pork,deli meats,"cooked pork shoulder, choice",5.8902263,0.48164956,0.47907012,0.20550955,0.036974137,0.006687562,7.100117229,1
8120,pork,deli meats,preserved pork liver,1.4965593,0.10480963,0.27761401,0.19485162,0.037393191,0.006687562,2.117915313,1
30351,pork,deli meats,"salami, pure pork",5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.006687562,6.079481852,1
30316,pork,deli meats,dry spicy pork sausage with red pepper,5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.006687562,6.079481852,1
30051,pork,deli meats,"sausage meat, pure pork, raw",4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.006687562,5.092131989,1
30052,pork,deli meats,"sausage meat, pork and beef, raw",4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.006687562,5.092131989,1
30750,pork,deli meats,"viennese sausage, pork and veal, raw",14.10395,1.0048785,0.7399657,0.21938611,0.037393191,0.006687562,16.11226106,2
30352,pork,deli meats,"salami, pork and beef",5.1518328,0.64278064,0.098456598,0.20498679,0.037393191,0.006687562,6.142137581,1
30301,pork,deli meats,"dry sausage, pure pork",5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.006687562,6.079481852,1
25566,pork,other meat products,"pork on skewer, raw",5.5630553,0.56285425,0.53428401,0.2494637,0.037393191,0.006687562,6.953738013,1
28302,pork,raw meats,"pork, loin, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
40005,pork,raw meats,"brain, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899,1
40060,pork,raw meats,"heart, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899,1
40119,pork,raw meats,"liver, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899,1
40404,pork,raw meats,"kidney, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899,1
40205,pork,raw meats,"tongue, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899,1
28470,pork,raw meats,"pork, back fat, rindless, raw",1.1542558,0.057139359,0.27564225,0.19240409,0.036974137,0.006687562,1.723103198,1
28400,pork,raw meats,"pork, spare-ribs, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043,2
28102,pork,raw meats,"pork, round steak, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054,2
