PRODUCT,AGRICULTURE,TRANSFORMATION,PACKAGING,TRANSPORT,SUPERMARKET AND DISTRIBUTION,CONSUMPTION,TOTAL IMPACT
"salami, pure pork",5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.006687562,6.079481852
dry spicy pork sausage with red pepper,5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.006687562,6.079481852
"sausage meat, pure pork, raw",4.3644895,0.25179252,0.23089041,0.20129786,0.036974137,0.006687562,5.092131989
"viennese sausage, pork and veal, raw",14.10395,1.0048785,0.7399657,0.21938611,0.037393191,0.006687562,16.11226106
"dry sausage, pure pork",5.0981679,0.63608501,0.098236763,0.20333048,0.036974137,0.006687562,6.079481852
"pork on skewer, raw",5.5630553,0.56285425,0.53428401,0.2494637,0.037393191,0.006687562,6.953738013
"pork, loin, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"brain, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899
"heart, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899
"liver, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899
"kidney, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899
"tongue, pork, raw",1.4809702,0.10371786,0.27564225,0.19330089,0.036974137,0.006687562,2.097292899
"pork, back fat, rindless, raw",1.1542558,0.057139359,0.27564225,0.19240409,0.036974137,0.006687562,1.723103198
"pork, spare-ribs, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043
"pork, round steak, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, roast, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, belly, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, belly, flank removed, raw",5.587654,0.27620305,0.27564225,0.20468657,0.036974137,0.006687562,6.387847569
"pork, chop, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043
"pork, shoulder upper half, without rind, fat and bone, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, 80/20 trimming, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork loin, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, knuckle or shank, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043
"pork, knuckle oh ham, without rind, fat and bone, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043
"pork, way leg, without rind, fat and bone, raw",10.950817,1.148702,0.58060782,0.26684649,0.046217671,0.08872985,13.08192083
"pork, shoulder lower half, without rind, fat and bone, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, jowl, rindless, raw",5.587654,0.27620305,0.27564225,0.20468657,0.036974137,0.006687562,6.387847569
"pork tenderloin, lean, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork filet mignon, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, rack, raw",8.7606538,0.86932334,0.473707,0.26077877,0.046217671,0.08872985,10.49941043
"pork, shoulder, raw",7.008523,0.69545867,0.3789656,0.20862301,0.036974137,0.006687562,8.335231979
"pork, 90/10 trimming, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"pork, ham escalope, raw",8.7606538,0.9189616,0.46448625,0.21347719,0.036974137,0.006687562,10.40124054
"chicken cooked ham, in slices",5.1782299,1.0798426,0.27564225,0.24399676,0.036974137,0.006687562,6.821373209
"heart, chicken, raw",1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.006687562,1.844473309
"chicken, breast, meat and skin, raw",5.1782298,1.0798426,0.27564225,0.24399676,0.036974137,0.006687562,6.821373109
"chicken, drumstick, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"chicken high leg, meat, raw",5.1782299,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232861
"chicken, breast, without skin, raw",5.1782298,1.0798426,0.27564225,0.24399676,0.036974137,0.006687562,6.821373109
"chicken, leg, meat, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"chicken, leg, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"chicken, wing, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"chicken, free-range, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"chicken, eviscerated without offal, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"chicken, white race, meat and skin, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"chicken, stewing, leg, raw",5.1782298,1.0302043,0.34455281,0.29129833,0.046217671,0.08872985,6.979232761
"gizzard, chicken, raw",1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.006687562,1.844473309
"liver, chicken, raw",1.1045307,0.21974541,0.27564225,0.20089325,0.036974137,0.006687562,1.844473309
"chicken, meat and skin, raw",4.1425839,0.82416344,0.27564225,0.23303866,0.036974137,0.006687562,5.519089949
